Country,Value
V.Kohli,27
C.Pujara,18
Mayank.A,3
Tim.P,0
S.Smith,0
J.Burns,4
A.Rahane,0
P.Shaw,1
R.Pant,0
Marnus.L,3
Marcus.H,0
Travis.H,2
