Country,Value
V.Kohli,3
C.Pujara,3
Mayank.A,17
Tim.P,1
S.Smith,6
J.Burns,4
A.Rahane,4
P.Shaw,0
R.Pant,0
Marnus.L,3
Marcus.H,2
Travis.H,0
