Country,Value
V.Kohli,59
C.Pujara,40
Mayank.A,55
Tim.P,50
S.Smith,53
J.Burns,48
A.Rahane,47
P.Shaw,33
R.Pant,44
Marnus.L,57
Marcus.H,24
Travis.H,49
