Country,Value
V.Kohli,10
C.Pujara,7
Mayank.A,0
Tim.P,4
S.Smith,1
J.Burns,5
A.Rahane,0
P.Shaw,0
R.Pant,1
Marnus.L,1
Marcus.H,0
Travis.H,2
