Country,Value
V.Kohli,89
C.Pujara,55
Mayank.A,0
Tim.P,48
S.Smith,115
J.Burns,0
A.Rahane,89
P.Shaw,0
R.Pant,0
Marnus.L,147
Marcus.H,0
Travis.H,58
