Country,Value
V.Kohli,55
C.Pujara,49
Mayank.A,67
Tim.P,31
S.Smith,15
J.Burns,39
A.Rahane,43
P.Shaw,118
R.Pant,44
Marnus.L,56
Marcus.H,24
Travis.H,43
