Country,Value
R Ashwin,2.84
Jasprit B,2.69
Umesh Y,3.46
Mitchell S,3.34
Josh H,0
Pat C,2.75
M Shami,3.34
M Siraj,0
N Saini,0
Nathan L,0
James P,0
Michael N,0
